Date,Event name,Active users,Event count
20260214,session_start,68,108
20260214,lookup_term,68,52
20260214,page_view,68,260
20260215,session_start,149,239
20260215,lookup_term,149,101
20260215,page_view,149,554
20260216,session_start,144,216
20260216,lookup_term,144,95
20260216,page_view,144,482
20260217,session_start,124,190
20260217,lookup_term,124,80
20260217,page_view,124,424
20260218,session_start,111,168
20260218,lookup_term,111,75
20260218,page_view,111,384
20260219,session_start,66,104
20260219,lookup_term,66,42
20260219,page_view,66,241
20260220,session_start,102,169
20260220,lookup_term,102,75
20260220,page_view,102,397
20260221,session_start,121,190
20260221,lookup_term,121,84
20260221,page_view,121,418
20260222,session_start,74,119
20260222,lookup_term,74,50
20260222,page_view,74,281
20260223,session_start,89,142
20260223,lookup_term,89,57
20260223,page_view,89,321
20260224,session_start,94,155
20260224,lookup_term,94,65
20260224,page_view,94,363
20260225,session_start,70,110
20260225,lookup_term,70,44
20260225,page_view,70,258
20260226,session_start,107,174
20260226,lookup_term,107,73
20260226,page_view,107,396
20260227,session_start,132,214
20260227,lookup_term,132,92
20260227,page_view,132,487
20260228,session_start,67,119
20260228,lookup_term,67,54
20260228,page_view,67,274
20260301,session_start,95,145
20260301,lookup_term,95,59
20260301,page_view,95,344
20260302,session_start,118,180
20260302,lookup_term,118,80
20260302,page_view,118,402
20260303,session_start,56,99
20260303,lookup_term,56,43
20260303,page_view,56,223
20260304,session_start,99,165
20260304,lookup_term,99,70
20260304,page_view,99,374
20260305,session_start,147,233
20260305,lookup_term,147,97
20260305,page_view,147,516
20260306,session_start,79,118
20260306,lookup_term,79,51
20260306,page_view,79,260
20260307,session_start,97,148
20260307,lookup_term,97,61
20260307,page_view,97,341
20260308,session_start,134,217
20260308,lookup_term,134,96
20260308,page_view,134,503
20260309,session_start,121,195
20260309,lookup_term,121,84
20260309,page_view,121,441
20260310,session_start,51,90
20260310,lookup_term,51,42
20260310,page_view,51,212
20260311,session_start,66,111
20260311,lookup_term,66,51
20260311,page_view,66,268
20260312,session_start,96,151
20260312,lookup_term,96,62
20260312,page_view,96,342
20260313,session_start,107,170
20260313,lookup_term,107,72
20260313,page_view,107,401
20260314,session_start,89,145
20260314,lookup_term,89,67
20260314,page_view,89,342
20260315,session_start,94,156
20260315,lookup_term,94,67
20260315,page_view,94,365
